iter	Passed	Remaining
400	21192	31655
401	21233	31586
402	21278	31521
403	21323	31457
404	21371	31398
405	21420	31339
406	21460	31267
407	21512	31213
408	21567	31164
409	21625	31119
410	21671	31057
411	21716	30992
412	21761	30929
413	21806	30866
414	21850	30801
415	21896	30739
416	21948	30685
417	21989	30617
418	22027	30544
419	22075	30485
420	22116	30416
421	22160	30352
422	22206	30290
423	22247	30223
424	22287	30154
425	22336	30097
426	22379	30031
427	22420	29963
428	22459	29893
429	22500	29826
430	22543	29761
431	22582	29692
432	22625	29627
433	22664	29557
434	22716	29504
435	22759	29441
436	22798	29372
437	22846	29314
438	22886	29246
439	22941	29198
440	22990	29141
441	23034	29080
442	23075	29013
443	23123	28956
444	23175	28903
445	23218	28841
446	23258	28773
447	23304	28714
448	23346	28649
449	23392	28590
450	23438	28531
451	23476	28462
452	23519	28399
453	23560	28334
454	23605	28274
455	23654	28219
456	23692	28151
457	23737	28091
458	23781	28029
459	23823	27966
460	23882	27923
461	23922	27857
462	23961	27791
463	23999	27723
464	24045	27664
465	24093	27608
466	24136	27547
467	24183	27491
468	24228	27431
469	24273	27372
470	24318	27313
471	24358	27248
472	24404	27190
473	24443	27124
474	24498	27076
475	24545	27020
476	24587	26958
477	24634	26901
478	24681	26846
479	24721	26782
480	24767	26724
481	24815	26668
482	24868	26618
483	24905	26552
484	24952	26495
485	25005	26446
486	25050	26388
487	25097	26331
488	25146	26277
489	25190	26218
490	25234	26159
491	25279	26102
492	25323	26042
493	25368	25985
494	25411	25924
495	25458	25869
496	25502	25810
497	25543	25749
498	25587	25689
499	25635	25635
500	25678	25575
501	25721	25516
502	25760	25453
503	25801	25391
504	25849	25337
505	25895	25281
506	25934	25218
507	25980	25162
508	26030	25109
509	26076	25054
510	26123	24998
511	26166	24940
512	26218	24889
513	26268	24837
514	26309	24777
515	26348	24714
516	26389	24653
517	26434	24597
518	26482	24543
519	26526	24486
520	26574	24431
521	26615	24371
522	26652	24308
523	26703	24257
524	26748	24200
525	26792	24143
526	26843	24093
527	26880	24029
528	26924	23972
529	26980	23925
530	27031	23874
531	27068	23812
532	27106	23749
533	27150	23693
534	27199	23640
535	27244	23584
536	27290	23529
537	27331	23470
538	27370	23409
539	27414	23352
540	27455	23294
541	27501	23239
542	27540	23178
543	27578	23116
544	27619	23058
545	27662	23001
546	27707	22946
547	27756	22893
548	27805	22841
549	27849	22785
550	27898	22734
551	27937	22673
552	27993	22628
553	28036	22570
554	28074	22510
555	28125	22460
556	28174	22407
557	28217	22351
558	28262	22296
559	28306	22240
560	28347	22183
561	28391	22126
562	28434	22071
563	28485	22020
564	28535	21969
565	28580	21914
566	28632	21865
567	28673	21808
568	28715	21751
569	28764	21699
570	28809	21645
571	28854	21590
572	28894	21532
573	28938	21476
574	28984	21423
575	29027	21367
576	29067	21309
577	29112	21255
578	29158	21201
579	29206	21149
580	29247	21092
581	29296	21040
582	29338	20984
583	29383	20930
584	29428	20876
585	29476	20824
586	29517	20768
587	29561	20713
588	29603	20656
589	29645	20601
590	29693	20549
591	29742	20497
592	29785	20442
593	29824	20385
594	29869	20331
595	29909	20274
596	29948	20216
597	29988	20159
598	30040	20110
599	30091	20061
600	30134	20005
601	30183	19955
602	30225	19899
603	30269	19845
604	30310	19789
605	30359	19738
606	30403	19684
607	30443	19628
608	30491	19576
609	30541	19526
610	30582	19470
611	30622	19414
612	30662	19358
613	30703	19302
614	30749	19249
615	30793	19196
616	30837	19142
617	30885	19091
618	30931	19038
619	30974	18984
620	31018	18930
621	31058	18874
622	31101	18820
623	31141	18764
624	31187	18712
625	31231	18659
626	31274	18604
627	31323	18554
628	31369	18502
629	31411	18447
630	31451	18392
631	31497	18340
632	31549	18291
633	31592	18238
634	31636	18184
635	31679	18130
636	31722	18077
637	31765	18023
638	31811	17971
639	31851	17916
640	31892	17862
641	31934	17807
642	31972	17751
643	32021	17701
644	32068	17649
645	32115	17598
646	32164	17548
647	32219	17501
648	32264	17449
649	32310	17398
650	32354	17345
651	32393	17289
652	32438	17237
653	32483	17185
654	32528	17133
655	32570	17079
656	32612	17025
657	32656	16973
658	32698	16920
659	32741	16866
660	32784	16813
661	32830	16762
662	32875	16710
663	32920	16658
664	32965	16606
665	33010	16554
666	33053	16502
667	33107	16454
668	33148	16400
669	33184	16344
670	33224	16290
671	33265	16236
672	33311	16185
673	33358	16134
674	33401	16082
675	33449	16031
676	33496	15981
677	33546	15931
678	33599	15884
679	33643	15832
680	33687	15779
681	33726	15725
682	33771	15674
683	33815	15622
684	33857	15569
685	33904	15518
686	33945	15465
687	33988	15413
688	34030	15360
689	34073	15308
690	34114	15255
691	34159	15203
692	34199	15150
693	34242	15098
694	34290	15048
695	34332	14995
696	34375	14943
697	34422	14893
698	34461	14839
699	34506	14788
700	34551	14737
701	34590	14683
702	34633	14631
703	34678	14580
704	34718	14527
705	34765	14477
706	34818	14429
707	34862	14378
708	34903	14325
709	34945	14273
710	34989	14222
711	35036	14172
712	35087	14123
713	35129	14071
714	35174	14020
715	35215	13968
716	35263	13918
717	35305	13866
718	35344	13813
719	35391	13763
720	35437	13712
721	35485	13663
722	35527	13611
723	35575	13561
724	35620	13511
725	35664	13460
726	35717	13412
727	35754	13358
728	35801	13308
729	35843	13257
730	35898	13210
731	35949	13161
732	35994	13111
733	36038	13060
734	36080	13008
735	36123	12957
736	36172	12908
737	36214	12856
738	36255	12804
739	36300	12754
740	36344	12703
741	36389	12652
742	36437	12603
743	36481	12552
744	36532	12504
745	36581	12455
746	36623	12404
747	36661	12351
748	36700	12298
749	36744	12248
750	36789	12197
751	36832	12146
752	36874	12095
753	36917	12044
754	36960	11993
755	37011	11945
756	37057	11895
757	37102	11845
758	37140	11792
759	37190	11744
760	37234	11693
761	37281	11644
762	37336	11597
763	37375	11545
764	37417	11494
765	37471	11446
766	37512	11395
767	37554	11344
768	37600	11294
769	37646	11244
770	37691	11194
771	37732	11143
772	37775	11093
773	37823	11044
774	37869	10994
775	37915	10944
776	37955	10893
777	38001	10843
778	38043	10792
779	38085	10742
780	38129	10691
781	38172	10641
782	38215	10590
783	38263	10542
784	38305	10491
785	38347	10440
786	38389	10390
787	38432	10339
788	38468	10287
789	38511	10237
790	38555	10187
791	38599	10137
792	38646	10088
793	38694	10039
794	38738	9989
795	38783	9939
796	38824	9888
797	38869	9839
798	38915	9789
799	38959	9739
800	39004	9690
801	39044	9639
802	39082	9588
803	39125	9538
804	39171	9488
805	39214	9438
806	39253	9387
807	39295	9337
808	39336	9287
809	39375	9236
810	39420	9186
811	39461	9136
812	39511	9088
813	39559	9039
814	39605	8990
815	39663	8943
816	39712	8895
817	39759	8846
818	39807	8797
819	39850	8747
820	39892	8697
821	39931	8646
822	39974	8597
823	40018	8547
824	40062	8498
